titulo,valor
Teu Segredo,29604
Ponto Fraco,27915
Péssimo Negócio (Ao Vivo),27470
Deixa em Off,27056
Pra você acreditar,26454
Insegurança,26135
Pirata e tesouro,25899
Cobertor de Orelha,25436
Até Que Durou,25010
Sua Mãe Vai Me Amar,24850
É natural (Participação especial de Bruno Cardoso),24207
Lancinho,24120
Sinto sua falta,23808
Pé Na Areia,23612
Nem de Graça,23178
Refém,23113
Deixa Tudo Como Tá,23004
Supera,22773
Tá Vendo Aquela Lua,21758
Melhor Eu Ir / Ligando os Fatos / Sonho de Amor / Deixa Eu Te Querer (Ao Vivo),21749
Mande um Sinal,21719
Fatalmente / Separação / Temporal (Ao Vivo),21594
Coração Radiante,21465
Até que enfim,21399
Energia Surreal,21312
Tá Escrito,21162
Camisa 10,21140
50 Vezes,21126
Tchau e Bença,20589
Deixa Acontecer,19868
Eu Mereço Ser Feliz,19738
Pesquisa no Google (feat. Henrique & Diego),19640
Me Apaixonei Pela Pessoa Errada,19498
Calma Amor,19332
Pouco a Pouco (Ao Vivo) (feat. Sorriso Maroto),19183
Fulminante,19175
Melhor Eu Ir,18168
Patricinha do Olho Azul,17988
Manda Áudio,17973
1 Metro e 65,17618
Muito Cedo,16876
Vai Errar de Novo,16820
A Fila Anda,15799
12 Horas (Ao Vivo),15685
Cerveja De Garrafa (Fumaça Que Eu Faço),15086
Fugidinha,14724
Sobrenome,14471
Melhor Amigo,14083
Pura Adrenalina,14044
Pente e Rala,14001
Trovão (Ao Vivo),13930
Final De Tarde,13853
Puxa Agarra e Beija (feat. Aviões do Forró),13852
Cheia de Manias,13698
Livre Pra Voar (Quando A Gente Se Encontrar),13681
Dependente,13658
Se Eu Pudesse,13575
Eu Nunca Amei Assim,13500
Fala,13309
Saudade Arregaça,13277
Curtindo a Vida,13010
Se Eu Largar O Freio,12993
Aonde Quer Chegar (feat. Gaab),12978
A Pessoa Certa,12953
Nem de Graça / Saudade Arregaça,12836
Grades do Coração,12737
Onze e Pouquinho,12684
Agora Perdeu,12506
Reprise,12318
Vamo Que Vamo,12267
Domingando,12262
O Show Tem Que Continuar,12257
Jeito Carinhoso,12243
Saideira,12009
Minha namorada,11860
Tá Louco Héin (feat. Sorriso Maroto),11707
Abandonado,11561
Vai Me Dando Corda (Ao Vivo),11484
Voltei (feat. Mumuzinho),11266
Controle Remoto (Ao Vivo),11165
Sinais,11120
A Gente Bota Pra Quebrar,11039
Santo Forte (Ao Vivo) (feat. Luan Santana),10985
Atrasadinha,10977
A Casa Caiu,10880
Tá na cara,10816
Climatizar,10698
Meu Lugar,10544
Meu Amor,10199
Recaída,10188
Para / Vai Passar,10182
"Caraca, Muleke!",10086
Sina,10077
Porradão,9820
Desliga e Vem / Gamei / Gandaia (feat. Péricles & Chrigor),9791
Não Pedi Pra Me Apaixonar,9782
Traição,9648
Você não tem noção,9533
Perfume / Intriga da Oposição / Desse Jeito é Ruim pra Mim,9503
Chopp garotinho,9487
Cansei de Farra,9460
Pretexto,9459
"Tá Bom, Aham",9452
Ainda Gosto de Você / A Primeira Namorada / Coração Deserto (Ao Vivo),9430
Fala Baixinho (Shiii),9419
A Gente Tem Tudo a Ver,9374
Só você não vê,9342
Deixa Alagar,9306
Telegrama,9264
Velocidade da Luz,9178
Dengo Nego,9171
Buquê De Flores,9085
Futuro Prometido,8995
Horas Iguais,8959
Só Vem!,8882
Sem Perceber,8865
Tempo de Aprender / Energia Surreal / Não Pedi Pra Me Apaixonar (Ao Vivo),8799
Futuro e Presente (Ao Vivo) (feat. Ferrugem & Mumuzinho),8762
Escondido dos seus Pais,8660
Eu juro,8655
Sonhos e Planos (Sou Eu),8583
Coisas do Amor (Fã de Carteirinha) / Você Pode,8541
Surpresa de Amor,8526
O meu coração tem medo,8465
Tão Linda,8342
Sem Radar,8329
Cancun,8287
Aquele Beijo,8248
Quem / Frenesi / Deixa Alagar (Ao Vivo),8218
Distante do seu mundo,8156
Segundo plano,8132
A Culpa É do Coração,8085
Sou O Cara Pra Você,8022
Para Tudo / Loucuras do Seu Coração (Ao Vivo),8015
Só Penso no Lar,8006
Instigante,7893
O som do tambor,7873
Temporal,7834
Deixa pra Amanhã,7830
De repente vem você (Participação especial de Belo),7770
Coincidência,7668
Cilada,7655
Ligando os Fatos,7630
Essa Tal Liberdade,7565
Amiga Da Minha Mulher,7501
50 Tons,7481
Fica Combinado Assim,7440
"Luz, Cama e Ação ",7435
É Tarde Demais,7268
Beija Aqui (feat. Thiaguinho),7153
Talvez / Teu Segredo / Mina de Fé (Ao Vivo),7148
Não Vai Embora,7139
A Primeira Namorada,7116
Balanço por Você,7110
Tô te filmando (Sorria),7057
Manda Áudio (Ao Vivo),7043
Modo Avião,7020
Prudente,7004
Degradê,6957
Refém / Pirata e Tesouro / Desse Jeito É Ruim Pra Mim (Ao Vivo),6887
Sobrenatural / Eu Nunca Amei Assim,6862
Todo Amor Do Mundo,6824
É No Pagode,6818
Fatalmente,6761
Me Arrependi,6745
O Impossível,6680
Só Vai De Camarote,6654
Sinto sua falta / É natural / Pra você acreditar / Pirata e tesouro,6632
Confiança,6552
Só de olhar,6547
Valeu,6474
Já Tentei,6458
Não Quero Despedida / Separação (feat. Mumuzinho),6437
Sobrenatural (Cadê Você),6423
Fulminante,6418
Curto Circuito,6406
Sonho de Amor,6363
Posso Te Chamar de Mô,6346
Casal Do Ano (Plutão),6325
Domingo,6314
Toca Um Samba Aí,6310
Seja bem,6283
Horário de Verão,6250
No Fundo dos Meus Olhos,6219
Já Que Você Não Me Quer Mais,6206
Nesse embalo,6181
Eu juro,6173
Separação,6112
Não Tem Hora Nem Lugar,6043
Deixa Acontecer,6040
Lua de Mel,6015
Eu E Você Sempre,5988
Eternamente Feliz,5981
Cheia de Manias,5972
Apaixonadin (feat. Thiaguinho),5948
Dominó,5937
Só pro Meu Prazer,5930
Reinventar / Pra Ver o Sol Brilhar,5860
Vai não (Participação especial de Zé Neto & Cristiano),5835
Vish,5821
Inoperante,5810
Fui,5796
Que Situação,5751
Em Suas Mãos,5719
Um Minuto,5675
Guerra Fria (feat. Jorge & Mateus),5666
Sem Abuso,5620
Chegamos ao Fim / Fim da Tristeza / Além do Meu Querer,5571
Deixa Eu Te Tocar,5551
Que Se Chama Amor,5544
Patricinha de Olho Azul,5528
Insegurança / Nem de Graça (Ao Vivo),5504
Perco a linha,5497
Brigas por Nada,5466
Vem,5393
Jogo De Sedução,5363
Preciso Te Amar,5333
Lugarzinho,5292
Nada pra Fazer / Nascente da Paz,5290
