titulo,valor
A Ópera Dos Malandros,39022
Liberdade! Liberdade! Abre As Asas Sobre Nós,38611
Xangô,37911
História Para Ninar Gente Grande,35037
"Maria Bethânia, A Menina Dos Olhos De Oyá",33597
Monstro É Aquele Que Não Sabe Amar. Os Filhos Abandonados Da Pátria Que Os Pariu,30953
Viradouro De Alma Lavada,29858
"Meu Deus, Meu Deus, Está Extinta A Escravidão?",28745
A Verdade Vós Fará Livre,27454
"Brazil Com Z É Pra Cabra Da Peste, Brasil Com S É A Nação Do Nordeste",26472
Peguei Um Ita No Norte,26338
É Segredo!,26244
Elza Deusa Soares,25968
Tambor,23652
"De Bar em Bar, Didi um Poeta",23602
Aquarela Brasileira,23180
Só Com A Ajuda Do Santo,22883
Sonhar Não Custa Nada! Ou Quase Nada,22739
Quem Nunca Sentiu O Corpo Arrepiar Ao Ver Esse Rio Passar...,22635
Tatalondirá,22434
As Mil E Uma Noites De Uma 'Mocidade' Pra Lá De Marrakech,21966
"Na Madureira Moderníssima, Hei Sempre De Ouvir Cantar Uma Sabiá",21937
"A Vila Canta O Brasil, Celeiro Do Mundo ",21660
Se Essa Rua Fosse Minha,20063
A Divina Comédia Do Carnaval,20049
Caymmi Mostra Ao Mundo O Que A Bahia E A Mangueira Têm,20011
"Guajupiá, Terra Sem Males",19735
"Chue Chuá, As Águas Vão Rolar",19588
"Gaia, A Vida Em Nossas Mãos ",19152
Ratos E Urubus... Larguem Minha Fantasia,19086
Atrás Da Verde E Rosa Só Não Vai Quem Já Morreu,18801
O Rei Negro Do Picadeiro,18586
"Iracema, A Virgem Dos Lábios De Mel",18391
Viraviradouro,18232
Namastê.. A Estrela Que Habita Em Mim Saúda A Que Existe Em Você,18117
Atrás Da Verde E Rosa Só Não Vai Quem Já Morreu,17421
Trevas! Luz! A Explosão Do Universo,17088
Ivete Do Rio Ao Rio,16422
O Amanha,16111
"Vira, Virou, A Mocidade Chegou",15528
O Tititi do Sapoty,14968
Senhoras Do Ventre Do Mundo,14719
Imperio Serrano Bum Bum Paticundum Prugurundum,14621
"Kizomba, Festa Da Raça ",14295
Com Dinheiro Ou Sem Dinheiro...,14210
Festa Profana,14021
"Imaginario, 450 Janeiros De Uma Cidade Surreal",13983
"Cada Macaco No Seu Galho. Ó Meu Pai, Me Dê O Pão Que Eu Não Morro De Fome!",13336
"É Brinquedo, É Brincadeira, A Ilha Vai Levantar Poeira ",13321
Eu Sou O Tempo. Tempo É Vida,13280
Criador E Criatura,13114
O Salvador Da Pátria,12746
"Bahia: E O Povo Na Rua Cantando... É Feito Uma Reza, Um Ritual ",12731
Gosto Que Me Enrosco,12539
É Hoje,12370
Orfeu,12096
"No Vôo Da Águia, Uma Viagem Sem Fim",12051
Contos de Areia,11988
"Acelera, Tijuca! ",11927
De Repente De Lá Pra Cá E Dirrepente De Cá Pra Lá...,11850
E Hoje,11759
O Som Da Cor,11654
"Vou Festejar! Sou Cacique, Sou Mangueira ",11565
"Mais Vale Um Jegue Que Me Carregue, Que Um Camelo Que Me Derrube... Lá No Ceará",11510
Salve Jorge! O Guerreiro Na Fé,11442
"O Filho Fiel, Sempre Mangueira",11401
Um Griô Conta A História: Um Olhar Sobre A África E O despontar Da Guiné Equatorial Caminhemos Sobre A Trilha De Nossa Felicidade,11182
A Simplicidade De Um Rei,11150
Esta Noite Levarei Sua Alma,11087
O Conto Do Vigário,10980
"100 Anos De Liberdade, Realidade Ou Ilusão",10932
Noël: A Presença Do Poeta Da Vila,10849
Gigante Pela Própria Natureza: Jaçanã E Um índio Chamado Brasil,10801
Salgueiro Apresenta: O Rio No Cinema,10639
Quem Não Viu Vai Ver... As Fábulas Do Beija,10625
Onde Moram Os Sonhos,10568
O Que É O Que É?,10525
Você Semba Lá... Que Eu Sambo Cá! O Canto Livre De Angola,10393
E O Samba Sambou,10369
"Vira Virou, A Mocidade Chegou",10235
Y,10209
Chico Buarque Da Mangueira,10169
Um Rio De Mar A Mar: Do Valongo Á Glória De São Sebastião,10164
"""Áfricas: Do Berço Real À Corte Brasileira""",10095
Sonhar Não Custa Nada! Ou Quase Nada,10011
"""Candances""",9873
Nzara Ndembu,9701
Madureira... Onde Meu Coração Se Deixou Levar,9665
"Semeando Sorriso, A Tijuca Festeja O Solo Sagrado",9654
"Música Na Alma, Inspiração De Uma Nação",9444
Batuk,9292
"Xingu, O Clamor Que Vem Da Floresta",9263
"Do Canto das Yabás, Renasce uma Nova Morada",9232
Festa Profana (Carnaval,9209
Histórias Sem Fim,9153
Peguei Um Ita No Norte,8897
A Música Venceu,8807
Domingo,8729
O Santo E O Rei,8626
"""A Viradouro Vira O Jogo""",8583
Cordel Branco E Encarnado,8574
"Lenda Das Sereias, Rainha Do Mar ",8379
"No Xirê do Anhembi a Oxum Mais Bonita Surgiu, Menininha, Mãe da Bahia ",8212
"O Alabê de Jerusalém, A Saga de Ogundana",8198
"Memórias Do ""Pai Arraia"" ",8168
Ziriguidum 2001,8115
"Em Nome Do Pai, Do Filho E Dos Santos, A Vila Canta A Cidade De Pedro",8093
Mineirinho Genial! Nova Lima,7965
Portela Na Avenida,7883
"Axé, Nkenda! Um Ritual De Liberdade E Que A Voz Da Igualdade Seja Sempre A Nossa Voz",7832
Uma Noite Real No Museu Nacional,7691
Vai Vai,7674
Festa para um Rei Negro (Samba Reizado) [Pega no Ganzê],7470
"Kizomba, Festa da Raça (feat. Luiz Carlos Da Vila)",7468
"Bum, Bum Paticumbum Prugurundum ",7415
Quem Nunca...? Que Atire A Primeira Pedra,7414
O Ti,7381
"""João E Marias""",7245
Mangueira É Música Do Brasil / Inclusão: Bem Simples,7026
Me Dá Um Dinheiro Aí,7007
É O Amor... Que Mexe Com A Minha Cabeça E Me Deixa Assim...,7001
Corra Que O Futuro Vem Aí!,6955
G.R.C.E.S. Vai,6801
A Peleja Poética Entre Rachel E Alencar No Avarandado Do Céu,6796
Academicamente Popular,6732
"Agora Chegou A Vez Vou Cantar: Mulher De Mangueira, Mulher Brasileira Em Primeiro Lugar / Citação: Mulher Brasileira",6726
"Verdes Olhos De Maysa Sobre O Mar, No Caminho: Maricá ",6665
O Dia Em Que Toda A Realeza Desembarcou Na Avenida Para Coroar O Rei Luiz Do Sertão,6603
"Dom Quixote De La Mancha, O Cavaleiro Dos Sonhos Impossíveis",6566
Das Arquibancadas Ao Camarote Nº 1 Um Grande Rio De Emoção Na Apoteose Do Seu Coração!,6563
G.R.C.E.S. Mancha Verde,6557
Brasil De Todos Os Deuses,6547
E Verás Que Um Filho Teu Não Foge À Luta,6506
"Desceu Num Raio, É Trovoada! O Deus Thor Pede Passagem Para Mostrar Nessa Viagem A Alemanha Encantada",6467
Mais De Mil Palhaços No Salão,6464
Cana,6456
Fama,6449
Soy Loco Por Ti: A Vila Canta A Latinidade!!!,6440
"Agudás, Os Que Levaram A África No Coração E Trouxeram Para O Coração Da África, O Brasil",6307
"Um Coração Urbano: Miguel, O Arcanjo Das Artes, Saúda O Povo E Pede Passagem",6294
A Grande Rio É Do Baralho,6267
Vai Para O Trono Ou Não Vai?,6257
Araxá Lugar Alto Onde Primeiro Se Avista O Sol,6202
G.R.C.E.S. Mocidade Alegre,6168
"Pará, O Mundo Místico Dos Caruanas, Nas Águas Do Patu",6142
"Lenda Carioca, Os Sonhos Do Vice Rei",6133
"Do Fundo Do Quintal, Saberes E Sabores Na Sapucaí",6118
"""Minha Pátria É Minha Língua, Mangueira Meu Grande Amor. Meu Samba Vai Ao Lácio Colher A Última Flor""",6090
Lendas E Mistérios Da Amazônia,6086
Manôa,6050
Beleza Pura?,5977
Eu Quero,5976
Brasil Bom De Boca,5932
A Festança Brasileira Cai No Samba Da Mangueira,5930
Uma Delirante Confusão Fabulística,5916
Onisuáquimalipanse,5898
Coisa Boa É para Sempre,5893
Pernambucópolis,5836
"Quem Descobriu O Brasil, Foi Seu Cabral, No Dia 22 De Abril, Dois Meses Depois Do Carnaval",5793
No Mundo Da Lua,5767
Grêmio Gaviões da Fiel Torcida,5763
Mãe África Conta Sua História: Do Berço Sagrado da Humanidade Ao Abençoado,5728
"A Mangueira Traz Os Brasis Do Brasil, Mostrando A Formação Do Povo Brasileiro ",5603
"""Macapaba: Equinócio Solar, Viagens Fantásticas Ao Meio Do Mundo""",5598
É Coisa de Preto,5579
A Imperatriz Adverte: Sambar Faz Bem À Saúde,5499
A Saga De Agotime,5458
Skindo Skindo,5448
"Fui No Itororó Beber Água, Não Achei. Mas Achei A Bela Santos, E Por Ela Me Apaixonei",5405
Pedra,5395
Sambar Com Fé Eu Vou,5383
A Voz Marrom Que Não Deixa o Samba Morrer,5346
Ossain: O Poder da Cura,5288
O Amanhã,5221
O Teu Cabelo Não Nega (Só Dá Lá Lá),5217
Catarina De Medicis Na Corte Dos Tupinambôs e Tabajares,5209
Paulicéia Desvairada 70 Anos,5209
Andar Com Fé Eu Vou Que a Fé Não Costuma Falhar,5201
"Nas Encruzilhadas Da Vida, Entre Becos, Ruas E Vielas A Sorte Está Lançada: Salve",5182
Maranhão / Os Tambores Vão Ecoar Na Terra da Encantaria,5160
"Se O Mundo Fosse Acabar, Me Diz O Que Você Faria Se Só Te Restasse Um Dia? / Incidental: O Último Dia",5148
Eu Acredito Em Você! E Você?,5112
O Império Do Samba Na Rota Da China,5099
"O Brasil De La Mancha: Sou Miguel, Padre Miguel. Sou Cervantes, Sou Quixote Cavaleiro, Pixote Brasileiro",4925
"O Vento Corta As Terras Dos Pampas. Em Nome Do Pai, Do Filho E Do Espírito Guarani. Sete Povos Na Fé E Na Dor... Sete Missões de Amor",4874
A Dança Da Lua,4832
"""O Rio De Janeiro Continua Sendo...""",4792
"Ajayô: Carlinhos Brown, Candomblés, Tambores e Batuques Ancestrais",4790
Arthur X,4738
"Amigo Fiel, Do Cavalo Do Amanhecer Ao Mangalarga Marchador",4737
"Um Não Sei Quê, Que Nasce Não Sei Onde, Vem Não Sei Como e Explode Não Sei Porquê...",4721
Tempos Modernos,4697
Ayo...A Alma Ancestral do Samba,4684
"Por Ti, Portinari, Rompendo A Tela, A Realidade ",4664
"Benguela… a Barroca Clama a Ti, Tereza!",4659
"E Por Falar Em Amor, Onde Anda Você? ",4652
São Luis,4644
Retratos De Um Brasil Plural,4624
Os Sertões,4615
É Hoje,4575
"Jorge, Amado Jorge ",4563
"""O Ti",4488
"A Vitória Vem da Luta, A Luta Vem da Força e a Força da União!",4428
A Revolução do Riso: A Arte de Subverter o Mundo pelo Divino Poder da Alegria,4412
Das Maravilhas Do Mar,4362
"A Incrível História Do Homem Que Só Tinha Medo Da Matinta Perera, Da Tocandira E Da Onça Pé De Boi",4346
"Imperatriz Leopoldinense Honrosamente Apresenta ""Leopoldina Imperatriz Do Brasil""",4334
Portela,4333
Me Masso Se Não Passo Pela Rua Do Ouvidor,4327
O Mistério Da Vida,4300
Carnavaleidoscópio Tropifágico,4266
Festa Do Ciro De Nazaré,4186
O Reino Das Palavras,4168
"Pai! Perdoai, Eles Não Sabem o Que Fazem",4158
"Muito Prazer, Vila Isabel De Bragança e Drumond Rosa Da Silva, Mas Pode Me Chamar De Vila",4151
"Do Paraíso De Deus Ao Paraíso Da Loucura, Cada Um Sabe O Que Procura",4123
Bidu Sayão E O Canto De Cristal,4074
"Guaru, Na Aurora da Criação / A Profecia Tupi... / Prosperidade e Paz Aos Mensageiros de Rudá ",4062
Sonhar Não Custa Nada! Ou Quase Nada...,4056
G.R.C.S.E.S. Águia de Ouro,4054
G.R.E.S. Acadêmicos do Tatuapé,4052
G.R.C.S.E.S. Império de Casa Verde,4051
"Nas Veias Do Brasil, É A Viradouro Em Um Dia De Graça!",4035
"Das Águas Do Velho Chico, Nasce Um Rio De Esperança",4019
"Cuiabá: Um Paraíso No Centro Da América! / Citação: Acima De Tudo Mangueira, Canta A Nação Mais Feliz, A Mais Querida Do Samba, Bate No Peito E Diz...",4005
O Poder do Saber,4003
Vou Festejar,3997
"Vira a Cabeça, Pira o Coração, Loucos Gênios da Criação",3969
"Brasil, Mostra A Sua Cara Em... ""Theatrum Rerum Naturalium Brasiliae""",3961
Portela Das Maravilhas Do Mar Fez,3940
Pará,3906
"""O Quinto Império: De Portugal Ao Brasil, Uma Utopia Na História""",3874
A Amizade / A Mancha Agradece do Fundo do Nosso Quintal,3872
Aquarela Brasileira,3858
G.R.C.E.S.. Dragões da Real,3832
"""É De Arrepiar!"" / Inclui trecho de: As Rosas Não Falam",3776
"Aparecida, A Rainha do Brasil | 300 Anos de Amor e Fé No Coração do Povo Brasileiro",3775
Oferendas,3743
"Adelaide, A Pomba Da Paz",3742
G.R.C.S.E.S. Unidos de Vila Maria,3735
Dragões Canta Asa Branca,3713
Bahia de Todos Os Deuses,3708
Mitos E Histórias Entrelaçadas Pelos Fios De Cabelo,3704
"""100 Anos Do Frevo, É De Perder O Sapato. Recife Mandou Me Chamar...."" / Citação Musical: Festa Do Interior",3686
"O Povo Conta A Sua História: ""Saco Vazio Não Pára Em Pé ",3680
"Olímpico Por Natureza, Todo Mundo Se Encontra No Rio",3660
O Império Do Divino,3660
Bum Bum Paticumbum Prugurudum,3659
Olubajé: Um Banquete para o Rei,3658
Peguei um Itá No Norte,3649
G.R.C.E.S. X,3642
"Do Fogo Que Ilumina A Vida, Salgueiro É Chama Que Não Se Apaga",3638
Horário Nobre,3637
Macunaíma (Heróis de Nossa Gente),3637
Aproveitam,3636
"Vira, Virou, a Mocidade Chegou",3625
Das Maravilhas do Mar Fez,3623
Imperatriz... Só Quer Mostrar Que Faz Samba Também!,3622
"Saravá, Umbanda!",3593
O Brasil de Duas Imperatrizes: De Viena para o Novo Mundo / Carolina Josefa Leopoldina de Ramos / Imperatriz Leopoldinense,3579
"A lenda das sereias, rainhas do mare",3577
Morfeu No Carnaval,3567
Os Dez Mandamentos: O Samba Da Paz Canta A Saga Da Liberdade,3566
Sou Amigo Do Rei,3565
Bum Bum Paticundum Prugurundum,3556
"No Chuveiro Da Alegria Quem Banha O Corpo, Lava A Alma Na Folia ",3544
Se Todos Fossem Iguais A Você,3527
Uma Aventura Musical Na Sapucaí,3521
Templo Negro Em Tempo de Consciência Negra,3502
Parábola Dos Divinos Semeadores,3497
Foi Um Rio Que Passou Em Minha Vida,3496
Todo Mundo Nasceu Nu,3488
"""Bravíssimo"" ",3481
Pelas Estradas da Vida / Sonhos e Aventuras de um Herói Brasileiro,3470
Vai,3470
S.R.C.S.E.B.F.S. Barroca Zona Sul,3468
Exaltação à mangueira,3465
Igbá Cubango,3460
G.R.R.S. Tom Maior,3453
A Fé Que Emerge das Águas,3438
O Século Do Samba,3434
"A Grandeza da China e Suas Mentes Sábias e Brilhantes, Remetem ao Mundo os Seus Encantos",3413
"Brilhante Ao Sol Do Novo Mundo, Brasília Do Sonho À Realidade, A Capital Da Esperança",3353
"Rio, Azul Da Cor Do Mar!",3344
Cartão de Identidade / Ziriguidum 2001,3320
Favela,3319
"A Peruche No Maior Axé Exalta Salvador, Cidade da Bahia, Caldeirão de Raças, Cultura, Fé e Alegria",3312
G.R.E.S. Colorado do Brás,3304
O Negro Que Virou Ouro Nas Terras Do Salgueiro,3296
O Eldorado Submerso: Delírio Tupi,3262
"Voilá, Caxias! Para Sempre Liberté, Egalité, Fraternité. Merci Beaucoup, Brésil! Não Tem De Quê! ",3237
Pot,3221
"O Ponteio da Viola Encanta... Sou Fruto da Terra, Raiz Desse Chão...",3173
"""Caxias"", O Caminho Do Progresso O Retrato Do Brasil",3172
O Grande Circo Místico,3169
"A Vila Mais Famosa É Mais Bela, Ilhabela das Maravilhas",3169
"Yes, nós Temos Braguinha",3166
A Ópera Negra de Abdias do Nascimento,3165
Ogum,3162
Batuques para um Rei Coroado,3149
Convivium | Sente,3133
Rio De Cá Pra Lá,3132
O Rei Que Bordou o Mundo,3121
Um Conto Marcado No Tempo,3098
Marhaba Lubnãn,3096
O Povo / A Nobreza Real,3058
"É Ela, A Deusa da Passarela",3042
Lendas e Mistérios da Amazônia,3036
Em Busca Do Ouro,3019
A Farra do Boi,3011
"O Seu, O Meu, O Nosso Rio, Abençoado Por deus E Bonito Por Natureza",3000
Vira,3000
Sociedade Rosas de Ouro,2984
Je Suis Vai,2962
Qualquer Semelhança Não Terá Sido Mera Coincidência,2956
De Londres Ao Rio: Era Uma Vez... Uma Ilha,2946
Mocidade Alegre,2944
"Amazonas, O Eldorado É Aqui",2932
"Entrou Por Um Lado, Saiu Pelo Outro... Quem Quiser Que Invente Outro!",2920
Quando O Samba Era Samba,2897
O Sonho Sempre Vem Pra Quem Sonhar...,2890
"Mojú, Magé, Mojubá: Sinfonias e Batuques",2885
G.R.S.C.E.S. Pérola Negra,2855
"Padre Miguel, Olhai Por Nós",2854
Minha Música / Minha Raiz Abram a Porteira para Essa Gente Caipira e Feliz,2851
"Axé, Caminhos Que Levam a Fé ",2826
"México, O Paraíso Das Cores, Sob O Signo Do Sol",2821
...E Todo Menino É um Rei,2799
"A Revolta da Chibata | Luta, Coragem e Bravura! João Cândido, Um Sonho de Liberdade",2796
G.R.E.S. Mocidade Unida da Mooca,2776
"Kizomba, Festa Da Raça",2772
Ruth de Souza,2770
Amo O Rio E Vou À Luta: Ouro Negro Sem Disputa... Contra A Injustiça Em Defesa Do Rio,2757
"Nossa Madrinha, Mangueira Querida / Tengo Tengo",2748
"""Do Verde De Coarí, Vem Meu Gás, Sapucaí!""",2738
A Voz do Samba É a Voz de Deus / Depois da Tempestade / Vem a Bonança!,2728
"Nem Todo O Pirata Tem A Perna De Pau, O Olho De Vidro E A Cara De Mau",2727
Paulicéia Desvairada,2717
O Império Nas Águas Doces de Oxum,2716
O Império Dos Mistérios,2713
"Bartali Tcherain / A Estrela Cigana, Brilha na Pérola Negra",2693
Ritualis,2692
G.R.C.E.S. Independente Tricolor,2670
Meu Quintal É Maior do Que o Mundo,2625
