titulo,valor
Insensato Destino,129340
Conselho,126421
Meu Lugar,121364
"Canta Canta, Minha Gente",110614
O Mar Serenou,106878
Disritmia,102913
Malandragem dá um Tempo,101969
Foi Um Rio Que Passou Em Minha Vida,101414
Trem Das Onze,101368
Não Deixe O Samba Morrer,99062
O Show Tem Que Continuar,95531
O Show Tem Que Continuar,91149
Vou Festejar,89450
A Batucada Dos Nossos Tantãs / Do Fundo Do Nosso Quintal,87990
Faixa Amarela,87272
Tiro Ao Álvaro,86932
Coisa de Pele,84646
Casa de Bamba,82718
A Amizade,82198
Sonho Meu,81824
O Sol Nascerá (A Sorrir),78606
Maneiras,75957
Saudosa Maloca,75248
Coração Em Desalinho,72038
Ex,68721
Do fundo do nosso quintal,68638
Espelho,67282
Deixa A Vida Me Levar,65695
O Que É O Que É?,65079
Argumento,64496
Timoneiro,61705
Tá Escrito,59758
Folhas Secas,59320
Mulheres,58961
Sorriso Aberto,56977
Andança,56275
Canto Das Três Raças,55899
Malandro É Malandro E Mané É Mané,55644
Deixa Eu Te Amar,55604
Meu Nome é Favela,54601
Coração Leviano,54066
A Semente,54063
Preciso Me Encontrar,52543
Zé do Caroço,51909
Olho por Olho,51450
Vai Vadiar,49427
Alvorada,48919
Samba do Arnesto,48648
Eu E Você Sempre,47378
Camarão Que Dorme A Onda Leva,46448
Se a Fila Andar,46388
Mel Na Boca,45437
Esperanças Perdidas,44768
Vou Festejar,44555
A Batucada Dos Nossos Tantãs,43806
Retalhos De Cetim,43387
Pé Na Areia,42587
Vou Botar Teu Nome Na Macumba / Quem É Ela?,42219
Ogum,41725
O Mundo É Um Moinho,41154
Poder Da Criação,40323
Tristeza Pé No Chão,40311
Alma Boêmia,39160
Lucidez,39034
A Voz do Morro,38715
Conto De Areia,38416
Quando A Gira Girou,37519
Naquela Mesa,36776
Seu Balancê,36737
Acreditar (Ao Vivo),36270
Tendência,35886
Coração Radiante,34846
Verdade,34791
Juízo Final,34561
Camarão Que Dorme a Onda Leva,34429
Clube do Samba,33766
Perdoa,33743
Não Deixa o Samba Morrer,33685
Vacilão,33359
Mas Quem Disse Que Eu Te Esqueço,33339
O Que É o Amor,33255
Caxambu,33138
Partido alto,32846
Tendência,32454
Mais Feliz,31546
Aquarela Brasileira,31339
Do Fundo do Nosso Quintal,31042
Todo Menino É Um Rei,30769
Grades do Coração,30709
Fogo de Saudade,30483
É Preciso Muito Amor,30260
Acreditar,30197
Acreditar,30097
O Feijão de Dona Neném,30036
Quando Eu Me Chamar Saudade,29724
Amor Proibido,29638
As Rosas Não Falam,29420
Coisinha do Pai,29407
Cabide,29281
Isso é Fundo de Quintal,29073
Coisa de Pele,28804
Luz do Repente,28661
Brincadeira Tem Hora,28234
Do Jeito Que A Vida Quer,28091
Nosso Grito,27997
Sorriso Aberto,27977
Não Sou Mais Disso,27528
Moro onde não mora ninguém,27424
Verdade Chinesa,27364
Retalhos De Cetim,26974
Identidade,26690
Seja Mais Você,26136
Nó Na Madeira,25903
Malandro Não Vacila,25885
Me Leva,25418
Vara De Família,25187
Cheia de Manias,25059
Doce Refúgio / Caciqueando,24587
Sequestraram Minha Sogra,24311
Falsa Consideração,24308
Lama Nas Ruas,24286
No Pagode Do Vavá,24114
Samba de Arerê,23861
Mel Na Boca,23860
A Flor e o Espinho,23514
Samba Pras Moças,23388
Ê Baiana,23307
Roda Ciranda / Segure Tudo / Casa De Bamba,23100
Portela Na Avenida,23092
O Bêbado e a Equilibrista,22938
"Malandro É Malandro, Mané É Mané",22851
Apesar De Você,22840
Verdade,22681
Nomes de Favela,22623
Sufoco,22549
Clareou,22438
Feijoada Completa,22368
Parabéns Pra Você,22003
Saudade Louca,21994
Tem Coca Aí Na Geladeira,21944
Seja Mais Você,21616
Conselho,21577
Falsa Consideração,21539
Boca Sem Dente,21397
Nossa Escola,21310
Será que é amor,21263
Água Da Minha Sede,21243
Quando o povo entra na dança,21233
Estrela De Madureira,21227
Meu ébano,21221
Tá perdoado,21121
Já é,21097
Só Pra Contrariar,21033
Alguém Me Avisou/Acreditar/Sonho Meu,20743
Eu e você sempre,20702
Pout,20410
Minha Fé,20353
Alguém me avisou,20024
"Alma Boêmia / Você É O Espinho E Não A Flor /A Vitória Demora, Mas Vem ",20017
Agora Viu Que Perdeu e Chora,19743
Bagaço Da Laranja,19732
Problema Emocional,19626
Eu Bebo Sim,19560
Minha,19543
Ainda É Tempo Pra Ser Feliz,19418
O Dono Da Dor,19345
Sonhos,19269
Temporal,19217
Retrato Cantado de um Amor,19091
Deixa Eu Te Amar,19028
Minta Meu Sonho,18878
A Batucada Dos Nossos Tantãs,18774
Luz do Repente,18641
Lendas Da Mata,18640
Clareou,18599
Iracema,18509
Alto Lá,18427
Oxossi,18391
Viola Em Bandoleira,18360
Nascente da Paz,18334
Estrela de Madureira,18329
Madalena do Jucú / Ô Irene,18293
O Samba É Meu Dom,18258
Sentimento de Posse,18099
"Ô Irene / Cadê Ioiô / Vai Lá, Vai Lá ",18098
Sorriso Negro,17943
Marinheiro Só,17595
