,Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
0,abraçar,adoniran-barbosa,4,742,Homem,1910-1919,SP,Adoniran Barbosa
1,abrir,adoniran-barbosa,4,912,Homem,1910-1919,SP,Adoniran Barbosa
2,acabar,adoniran-barbosa,9,1832,Homem,1910-1919,SP,Adoniran Barbosa
3,achar,adoniran-barbosa,8,1151,Homem,1910-1919,SP,Adoniran Barbosa
4,acontecer,adoniran-barbosa,12,929,Homem,1910-1919,SP,Adoniran Barbosa
5,acordar,adoniran-barbosa,3,698,Homem,1910-1919,SP,Adoniran Barbosa
6,acreditar,adoniran-barbosa,1,756,Homem,1910-1919,SP,Adoniran Barbosa
7,adeus,adoniran-barbosa,20,801,Homem,1910-1919,SP,Adoniran Barbosa
8,agora,adoniran-barbosa,31,2881,Homem,1910-1919,SP,Adoniran Barbosa
9,alegria,adoniran-barbosa,8,1494,Homem,1910-1919,SP,Adoniran Barbosa
10,algum,adoniran-barbosa,7,538,Homem,1910-1919,SP,Adoniran Barbosa
11,alto,adoniran-barbosa,3,649,Homem,1910-1919,SP,Adoniran Barbosa
12,além,adoniran-barbosa,4,940,Homem,1910-1919,SP,Adoniran Barbosa
13,amanhã,adoniran-barbosa,26,1094,Homem,1910-1919,SP,Adoniran Barbosa
14,amar,adoniran-barbosa,20,9816,Homem,1910-1919,SP,Adoniran Barbosa
15,amigar,adoniran-barbosa,7,701,Homem,1910-1919,SP,Adoniran Barbosa
16,amigo,adoniran-barbosa,3,635,Homem,1910-1919,SP,Adoniran Barbosa
17,amor,adoniran-barbosa,58,31458,Homem,1910-1919,SP,Adoniran Barbosa
18,andar,adoniran-barbosa,11,1990,Homem,1910-1919,SP,Adoniran Barbosa
19,ano,adoniran-barbosa,4,667,Homem,1910-1919,SP,Adoniran Barbosa
20,aprender,adoniran-barbosa,1,704,Homem,1910-1919,SP,Adoniran Barbosa
21,ar,adoniran-barbosa,2,778,Homem,1910-1919,SP,Adoniran Barbosa
22,azul,adoniran-barbosa,2,668,Homem,1910-1919,SP,Adoniran Barbosa
23,bater,adoniran-barbosa,13,1694,Homem,1910-1919,SP,Adoniran Barbosa
24,batucar,adoniran-barbosa,1,526,Homem,1910-1919,SP,Adoniran Barbosa
25,beber,adoniran-barbosa,11,983,Homem,1910-1919,SP,Adoniran Barbosa
26,beijar,adoniran-barbosa,4,1982,Homem,1910-1919,SP,Adoniran Barbosa
27,beleza,adoniran-barbosa,5,765,Homem,1910-1919,SP,Adoniran Barbosa
28,belo,adoniran-barbosa,1,561,Homem,1910-1919,SP,Adoniran Barbosa
29,boca,adoniran-barbosa,1,1198,Homem,1910-1919,SP,Adoniran Barbosa
30,bolar,adoniran-barbosa,1,545,Homem,1910-1919,SP,Adoniran Barbosa
31,bom,adoniran-barbosa,23,3691,Homem,1910-1919,SP,Adoniran Barbosa
32,bonito,adoniran-barbosa,9,1166,Homem,1910-1919,SP,Adoniran Barbosa
33,branco,adoniran-barbosa,2,706,Homem,1910-1919,SP,Adoniran Barbosa
34,braço,adoniran-barbosa,4,799,Homem,1910-1919,SP,Adoniran Barbosa
35,brigar,adoniran-barbosa,3,610,Homem,1910-1919,SP,Adoniran Barbosa
36,brincar,adoniran-barbosa,1,742,Homem,1910-1919,SP,Adoniran Barbosa
37,buscar,adoniran-barbosa,7,674,Homem,1910-1919,SP,Adoniran Barbosa
38,cabeça,adoniran-barbosa,2,760,Homem,1910-1919,SP,Adoniran Barbosa
39,cair,adoniran-barbosa,4,1544,Homem,1910-1919,SP,Adoniran Barbosa
40,calar,adoniran-barbosa,2,549,Homem,1910-1919,SP,Adoniran Barbosa
41,caminhar,adoniran-barbosa,2,1179,Homem,1910-1919,SP,Adoniran Barbosa
42,cansar,adoniran-barbosa,5,880,Homem,1910-1919,SP,Adoniran Barbosa
43,cantar,adoniran-barbosa,20,8891,Homem,1910-1919,SP,Adoniran Barbosa
44,canção,adoniran-barbosa,3,1030,Homem,1910-1919,SP,Adoniran Barbosa
45,carnaval,adoniran-barbosa,3,816,Homem,1910-1919,SP,Adoniran Barbosa
46,caro,adoniran-barbosa,10,2089,Homem,1910-1919,SP,Adoniran Barbosa
47,casar,adoniran-barbosa,23,2147,Homem,1910-1919,SP,Adoniran Barbosa
48,certa,adoniran-barbosa,2,522,Homem,1910-1919,SP,Adoniran Barbosa
49,certo,adoniran-barbosa,2,571,Homem,1910-1919,SP,Adoniran Barbosa
50,chamar,adoniran-barbosa,8,1650,Homem,1910-1919,SP,Adoniran Barbosa
51,chegar,adoniran-barbosa,37,4489,Homem,1910-1919,SP,Adoniran Barbosa
52,cheio,adoniran-barbosa,5,743,Homem,1910-1919,SP,Adoniran Barbosa
53,chorar,adoniran-barbosa,57,4386,Homem,1910-1919,SP,Adoniran Barbosa
54,chuva,adoniran-barbosa,2,635,Homem,1910-1919,SP,Adoniran Barbosa
55,chão,adoniran-barbosa,12,1037,Homem,1910-1919,SP,Adoniran Barbosa
56,cidade,adoniran-barbosa,5,1002,Homem,1910-1919,SP,Adoniran Barbosa
57,cima,adoniran-barbosa,6,979,Homem,1910-1919,SP,Adoniran Barbosa
58,coisa,adoniran-barbosa,24,2410,Homem,1910-1919,SP,Adoniran Barbosa
59,comer,adoniran-barbosa,28,4536,Homem,1910-1919,SP,Adoniran Barbosa
60,comigo,adoniran-barbosa,9,1583,Homem,1910-1919,SP,Adoniran Barbosa
61,como,adoniran-barbosa,22,3838,Homem,1910-1919,SP,Adoniran Barbosa
62,comprar,adoniran-barbosa,8,536,Homem,1910-1919,SP,Adoniran Barbosa
63,conhecer,adoniran-barbosa,11,878,Homem,1910-1919,SP,Adoniran Barbosa
64,conseguir,adoniran-barbosa,2,767,Homem,1910-1919,SP,Adoniran Barbosa
65,contar,adoniran-barbosa,10,1269,Homem,1910-1919,SP,Adoniran Barbosa
66,cor,adoniran-barbosa,1,821,Homem,1910-1919,SP,Adoniran Barbosa
67,coração,adoniran-barbosa,12,6266,Homem,1910-1919,SP,Adoniran Barbosa
68,corpo,adoniran-barbosa,5,1523,Homem,1910-1919,SP,Adoniran Barbosa
69,correr,adoniran-barbosa,4,1081,Homem,1910-1919,SP,Adoniran Barbosa
70,criança,adoniran-barbosa,4,708,Homem,1910-1919,SP,Adoniran Barbosa
71,cuidar,adoniran-barbosa,4,514,Homem,1910-1919,SP,Adoniran Barbosa
72,céu,adoniran-barbosa,7,2061,Homem,1910-1919,SP,Adoniran Barbosa
73,dançar,adoniran-barbosa,5,1429,Homem,1910-1919,SP,Adoniran Barbosa
74,dentro,adoniran-barbosa,5,1212,Homem,1910-1919,SP,Adoniran Barbosa
75,depois,adoniran-barbosa,17,1839,Homem,1910-1919,SP,Adoniran Barbosa
76,desde,adoniran-barbosa,2,562,Homem,1910-1919,SP,Adoniran Barbosa
77,desejar,adoniran-barbosa,2,1051,Homem,1910-1919,SP,Adoniran Barbosa
78,destinar,adoniran-barbosa,2,562,Homem,1910-1919,SP,Adoniran Barbosa
79,deus,adoniran-barbosa,16,3257,Homem,1910-1919,SP,Adoniran Barbosa
80,dever,adoniran-barbosa,4,955,Homem,1910-1919,SP,Adoniran Barbosa
81,dia,adoniran-barbosa,38,4842,Homem,1910-1919,SP,Adoniran Barbosa
82,dinheiro,adoniran-barbosa,7,680,Homem,1910-1919,SP,Adoniran Barbosa
83,dizer,adoniran-barbosa,41,8012,Homem,1910-1919,SP,Adoniran Barbosa
84,doce,adoniran-barbosa,2,690,Homem,1910-1919,SP,Adoniran Barbosa
85,doer,adoniran-barbosa,1,639,Homem,1910-1919,SP,Adoniran Barbosa
86,dono,adoniran-barbosa,6,564,Homem,1910-1919,SP,Adoniran Barbosa
87,dor,adoniran-barbosa,6,2290,Homem,1910-1919,SP,Adoniran Barbosa
88,dormir,adoniran-barbosa,7,868,Homem,1910-1919,SP,Adoniran Barbosa
89,embora,adoniran-barbosa,13,1492,Homem,1910-1919,SP,Adoniran Barbosa
90,encontrar,adoniran-barbosa,10,2135,Homem,1910-1919,SP,Adoniran Barbosa
91,entender,adoniran-barbosa,2,970,Homem,1910-1919,SP,Adoniran Barbosa
92,entrar,adoniran-barbosa,8,1652,Homem,1910-1919,SP,Adoniran Barbosa
93,entregar,adoniran-barbosa,1,774,Homem,1910-1919,SP,Adoniran Barbosa
94,errar,adoniran-barbosa,1,872,Homem,1910-1919,SP,Adoniran Barbosa
95,esperar,adoniran-barbosa,11,1753,Homem,1910-1919,SP,Adoniran Barbosa
96,esquecer,adoniran-barbosa,9,2291,Homem,1910-1919,SP,Adoniran Barbosa
97,existir,adoniran-barbosa,2,1025,Homem,1910-1919,SP,Adoniran Barbosa
98,falar,adoniran-barbosa,25,2676,Homem,1910-1919,SP,Adoniran Barbosa
99,falir,adoniran-barbosa,8,940,Homem,1910-1919,SP,Adoniran Barbosa
100,faltar,adoniran-barbosa,1,925,Homem,1910-1919,SP,Adoniran Barbosa
