Palavra,Artista,Quantidade_y,Quantidade_total,Gênero,Década de nascimento,UF de nascimento,Nome
to hug,adoniran-barbosa,4,742,Man,1910-1919,SP,Adoniran Barbosa
Open,adoniran-barbosa,4,912,Man,1910-1919,SP,Adoniran Barbosa
to finish,adoniran-barbosa,9,1832,Man,1910-1919,SP,Adoniran Barbosa
find,adoniran-barbosa,8,1151,Man,1910-1919,SP,Adoniran Barbosa
happen,adoniran-barbosa,12,929,Man,1910-1919,SP,Adoniran Barbosa
wake up,adoniran-barbosa,3,698,Man,1910-1919,SP,Adoniran Barbosa
to believe,adoniran-barbosa,1,756,Man,1910-1919,SP,Adoniran Barbosa
bye,adoniran-barbosa,20,801,Man,1910-1919,SP,Adoniran Barbosa
now,adoniran-barbosa,31,2881,Man,1910-1919,SP,Adoniran Barbosa
happiness,adoniran-barbosa,8,1494,Man,1910-1919,SP,Adoniran Barbosa
any,adoniran-barbosa,7,538,Man,1910-1919,SP,Adoniran Barbosa
high,adoniran-barbosa,3,649,Man,1910-1919,SP,Adoniran Barbosa
in addition,adoniran-barbosa,4,940,Man,1910-1919,SP,Adoniran Barbosa
tomorrow,adoniran-barbosa,26,1094,Man,1910-1919,SP,Adoniran Barbosa
love,adoniran-barbosa,20,9816,Man,1910-1919,SP,Adoniran Barbosa
cozying,adoniran-barbosa,7,701,Man,1910-1919,SP,Adoniran Barbosa
friend,adoniran-barbosa,3,635,Man,1910-1919,SP,Adoniran Barbosa
love,adoniran-barbosa,58,31458,Man,1910-1919,SP,Adoniran Barbosa
walk,adoniran-barbosa,11,1990,Man,1910-1919,SP,Adoniran Barbosa
year,adoniran-barbosa,4,667,Man,1910-1919,SP,Adoniran Barbosa
learn,adoniran-barbosa,1,704,Man,1910-1919,SP,Adoniran Barbosa
air,adoniran-barbosa,2,778,Man,1910-1919,SP,Adoniran Barbosa
blue,adoniran-barbosa,2,668,Man,1910-1919,SP,Adoniran Barbosa
to knock,adoniran-barbosa,13,1694,Man,1910-1919,SP,Adoniran Barbosa
batucar,adoniran-barbosa,1,526,Man,1910-1919,SP,Adoniran Barbosa
drink,adoniran-barbosa,11,983,Man,1910-1919,SP,Adoniran Barbosa
kiss,adoniran-barbosa,4,1982,Man,1910-1919,SP,Adoniran Barbosa
beauty,adoniran-barbosa,5,765,Man,1910-1919,SP,Adoniran Barbosa
beautiful,adoniran-barbosa,1,561,Man,1910-1919,SP,Adoniran Barbosa
mouth,adoniran-barbosa,1,1198,Man,1910-1919,SP,Adoniran Barbosa
trundle,adoniran-barbosa,1,545,Man,1910-1919,SP,Adoniran Barbosa
Good,adoniran-barbosa,23,3691,Man,1910-1919,SP,Adoniran Barbosa
beautiful,adoniran-barbosa,9,1166,Man,1910-1919,SP,Adoniran Barbosa
White,adoniran-barbosa,2,706,Man,1910-1919,SP,Adoniran Barbosa
arm,adoniran-barbosa,4,799,Man,1910-1919,SP,Adoniran Barbosa
fight,adoniran-barbosa,3,610,Man,1910-1919,SP,Adoniran Barbosa
to play,adoniran-barbosa,1,742,Man,1910-1919,SP,Adoniran Barbosa
search,adoniran-barbosa,7,674,Man,1910-1919,SP,Adoniran Barbosa
