palavra,artista,frequencia
Amor,Karametade,1 a cada 27 palavras
Saudade,Elizeth Cardoso,1 a cada 245 palavras
Tristeza,Vinicius de Moraes,1 a cada 496 palavras
Felicidade,Gonzaguinha,1 a cada 557 palavras
Beijar,Turma do Pagode,1 a cada 171 palavras
Carnaval,Ary Barroso,1 a cada 598 palavras
Samba,Ary Barroso,1 a cada 97 palavras
Pagode,Jovelina Pérola Negra,1 a cada 212 palavras
Rico,Carmen Miranda,1 a cada 939 palavras
Pobre,Bezerra da Silva,1 a cada 928 palavras
Mulher,Inimigos da HP,1 vez a cada 140 palavras
Homem,Jorge Ben Jor,1 a cada 240 palavras
